id,location,latitude,longitude,ref_stn,tg_bm,cd_to_bm,mhws,mhwn,mlwn,mlws,msl,hat,lat,data_start,data_end,data_len,owner,gauge_type,pred_link,data_link,int_number
1001,Niue Island,-19.0544,-169.8672,Nuie,,,,,,,,,,9/07/1994,14/05/2005,,,,,,6604
1002,Whakaari/White Island,-37.5269,177.1919,Tauranga,F31D,6.31,2,1.6,0.5,0.2,1.1,,,10/08/2018,30/09/2018,0.15,,,,,6417a
1003,Whangateau Harbour,-36.3257,174.7742,Auckland,,,2.7,2.3,0.6,0.2,1.5,,,,,,,,,,6396c
1004,Whanganui Inlet,-40.5833,172.5333,Westport,,,2.9,2.3,0.8,0,1.4,,,,,,,,,,6528
1005,Whangamumu Harbour,-35.2485,174.2958,Marsden Point,,,2.1,1.9,0.6,0.2,1.2,,,4/11/1972,1/02/1973,0.05,,,,,6391b
1006,Moturoa Island,-35.2108,174.077,Marsden Point,,,,,,,,,,,,,,,,,
1007,Rocky Point,-35.364,174.3581,Marsden Point,,,2.2,2,0.6,0.3,1.3,,,,,0.005,,,,,6392
1008,Waitangi,-35.2722,174.0813,Marsden Point,,,2.3,2,0.6,0.4,1.4,,,,,,,,,,6390b
1009,Waipapa Point,-46.6577,168.8446,Bluff,,,2.7,2.5,0.9,0.6,1.7,,,,,0.05,,,,,6502
1010,Waiiti Bay,-35.0074,173.936,Marsden Point,,,2.2,2,0.7,0.5,1.3,,,,,0.05,,,,,6390a
1011,Easy Harbour,-47.1545,167.568,Bluff,BE5R,4.932,2.6,2.2,0.9,0.4,1.6,,,11/10/1998,30/03/1999,0.55,,,,,6509a
1012,Kingfish Lodge,-35.0125,173.7572,Marsden Point,IT_KING 1,4.268,2.5,2.1,0.8,0.4,1.4,,,20/04/1973,21/05/2014,0.4,,,,http://www.nrc.govt.nz/Environment/River-and-rainfall-data/River-and-Rainfall-Data/,
1013,Port Pegasus,-47.1955,167.6682,Bluff,,,,,,,,,,,,,,,,,
1014,Ernest Islands,-46.9615,167.6781,Bluff,,,2.2,1.8,0.7,0.2,1.2,,,20/10/1997,22/11/1997,0.1,,,,,6510
1015,Flour Cask Bay,-47.2772,167.476,Bluff,BAY5,5.269,2.8,2.4,1,0.5,1.7,,,2/02/1998,4/05/1999,0.7,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6509
1016,Taiporoporo / Charles Sound,-45.0792,167.1026,Westport,EC4T,3.926,2.9,2.3,0.8,0.2,1.5,,,27/11/1997,25/04/2019,0.4,,,,,6514a
1017,Havelock,-41.2751,173.7704,Nelson,BE0K,4.183,3.2,2.3,1.1,0.4,1.7,,,17/07/1996,14/12/2009,0.8,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6471
1018,Portage,-41.1976,174.0338,Nelson,EFYR,3.751,3.2,2.3,1.1,0.3,1.7,,,18/07/1996,26/08/1996,0.1,,,,,6470
1019,Deep Cove,-45.4577,167.1509,Westport,F3A1,2.435,2.3,1.7,0.8,0.2,1.3,,,15/07/1984,26/04/2019,0.7,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6513
1020,Te Houhou / George Sound,-44.8647,167.3689,Westport,,,2.5,2.1,0.9,0.3,1.4,,,25/10/1997,22/11/1997,0.1,,,,,6514b
1021,Blanket Bay,-45.3008,166.9785,Westport,EBMB,2.942,2.3,1.7,0.8,0.2,1.2,,,22/01/1985,26/04/2019,0.3,,,,,6513b
1022,Whitianga,-36.8326,175.7088,Tauranga,BUGN,3.186,2.1,1.8,0.7,0.4,1.3,2.38,0.2,1/01/2000,30/06/2020,11.5,Waikato Regional Council,Radar,https://www.linz.govt.nz/sea/tides/tide-predictions,http://riverlevelsmap.waikatoregion.govt.nz/cgi-bin/hydwebserver.cgi/catchments/details?catchment=17,6411
1023,Rarotonga,-21.2292,-159.7763,Rarotonga,,,,,,,,,,,,,,,,,
1024,Penrhyn Island,-9.0051,-157.9762,Apia,,,,,,,,,,,,,,,,,
1025,Funafuti,-8.5211,179.1962,,,,,,,,,,,,,,,,,,6744
1026,Greymouth,-42.4468,171.1997,Westport,,,3.4,2.6,1.3,0.6,2,,,16/02/1993,11/03/1993,0.1,,,,,6524
1027,Onehunga,-36.9328,174.7855,,ADLT,5.593,4.21,3.39,1.4,0.53,2.43,4.55,0.13,1/11/1987,30/06/2020,20,Auckland Council,Ultrasonic,https://www.linz.govt.nz/sea/tides/tide-predictions,,6375
1028,Dunedin,-45.8787,170.5134,,AFEQ,3.728,2.21,1.82,0.4,0.06,1.11,2.43,-0.13,1/01/1905,30/06/2020,96,Port Otago,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6498
1030,Port Chalmers,-45.8147,170.6241,,DR0F,3.816,2.19,1.8,0.46,0.15,1.13,2.38,-0.05,11/06/1985,30/06/2020,27,Port Otago,Ultrasonic,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h669a.zip,6497
1031,Whakatane,-37.9486,177.0034,Tauranga,EM6A,3.562,2.1,1.8,0.7,0.4,1.2,2.34,0.2,1/01/1995,13/01/2019,24,Bay of Plenty Regional Council,Stilling well,https://www.linz.govt.nz/sea/tides/tide-predictions,,6417b
1032,Spit Wharf,-45.7869,170.7183,Port Chalmers,EAYT,5.386,2.08,1.6,0.51,0.21,1.1,2.25,0.02,20/07/1997,30/06/2020,22,Port Otago,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6496
1033,Taiaroa Head,-45.7773,170.7279,Port Chalmers,,,,,,,,,,1/11/1991,17/01/1992,0.25,,,,,
1034,Timaru,-44.3941,171.2561,,B2Y9,5.759,2.51,2.12,0.83,0.46,1.48,2.71,0.28,2/03/1987,30/06/2020,22,PrimePort,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h665a.zip,6492
1035,Motueka,-41.1383,173.0234,Nelson,AC4J,6.452,4.2,3.4,1.4,0.6,2.4,,,24/04/1986,17/01/2012,0.2,,,,,6455a
1036,Hobbs Bay,-36.6286,174.7916,Auckland,,,,,,,,,,5/04/1985,9/05/1985,0.1,,,,,
1037,Motupipi Inlet,-40.8333,172.85,Nelson,,,5,4.1,1.5,0.6,2.8,,,,,,,,,,6454
1038,Nuku Alofa,-21.1393,-175.2049,,,,,,,,,,,20/06/1990,1/01/2017,12,,,,,6660
1039,Lifuka Island,-19.8188,-174.3489,Nuku'alofa,Pangai Pin 1,1.473,1.3,1.1,0.4,0.1,0.7,,,14/06/1994,20/12/2018,0.5,,,,,6666
1040,Anita Bay,-44.5803,167.7892,Westport,E8V7,3.072,2.5,1.9,0.9,0.3,1.4,,,27/02/1996,11/03/2008,0.2,,,,,6516
1041,Yankee River,-46.6935,167.8893,Bluff,BAY8,3.734,2.3,1.9,0.9,0.5,1.4,,,27/10/1981,3/07/1999,0.1,,,,,6506b
1043,Picton,-41.2857,174.0055,,BQFK,2.716,1.6,1.08,0.57,0.12,0.85,1.73,0.01,1/01/1990,30/06/2020,8,Port Marlborough New Zealand,Pressure transducer,https://www.linz.govt.nz/sea/tides/tide-predictions,,6477
1044,Kawhia,-38.0659,174.8231,Port Taranaki,EW67,4.081,3.63,2.87,1.08,0.28,2,3.94,-0.05,29/01/1997,30/06/2020,12,Waikato Regional Council,Bubbler,https://www.linz.govt.nz/sea/tides/tide-predictions,http://riverlevelsmap.waikatoregion.govt.nz/cgi-bin/hydwebserver.cgi/catchments/details?catchment=17,6369
1045,Catherine Cove,-40.858,173.8917,Nelson,EC50,3.157,2.6,1.9,0.8,0.2,1.4,,,1/03/1997,1/06/1997,0.3,,,,,6465
1046,Wharekahika / Hicks Bay,-37.5691,178.3015,Tauranga,ACA3,5.468,1.9,1.6,0.5,0.2,1.1,,,6/02/1986,27/11/2018,0.5,,,,,6421
1047,Island Point,-36.2364,174.0953,Port Taranaki,,,3.6,2.8,1.1,0.3,1.9,,,12/03/1981,10/04/1981,0.1,,,,,6376
